species,adjHL,adjSL,adjIND,adjED,adjTD,adjHW,adjFA,adjFL,adjTBL,adjTarL,adjPL,adjML,adjNPL,adjToe4DW,adjFIn3DW
luzonensis,1.317381576,0.97130843,0.647138565,0.789652869,0.699691141,1.232093382,1.05020968,1.464550865,1.485075272,1.239479407,1.431050534,1.256026428,0.856936667,0.290080541,0.493392456
luzonensis,1.356578148,0.996792398,0.670932055,0.833168797,0.741195406,1.254082397,1.050418772,1.468393064,1.512271861,1.254543781,1.449555014,1.240141941,0.943277707,0.249019907,0.502378675
luzonensis,1.404999716,1.043768185,0.702758255,0.844735122,0.716018119,1.290754158,1.073861813,1.512134582,1.543390994,1.307826712,1.467281244,1.285446047,0.932966189,0.273594941,0.493227028
luzonensis,1.384390325,1.024343995,0.703955349,0.886456335,0.734479626,1.27656095,1.074426688,1.469505112,1.515161406,1.268393972,1.443010524,1.271063894,0.910344688,0.301990469,0.518720787
luzonensis,1.3484889,0.992203752,0.669716167,0.817510852,0.713210121,1.265894371,1.037354411,1.490213,1.525511279,1.259825779,1.467878736,1.256880732,0.904921474,0.198369675,0.461491379
luzonensis,1.38873427,1.024024537,0.686184431,0.887845744,0.741526738,1.285486824,1.041311104,1.493646222,1.526669586,1.285728734,1.449999893,1.282713511,0.899073097,0.219576105,0.496764844
luzonensis,1.373404523,1.018420671,0.68779985,0.790242639,0.731855449,1.270869404,1.046321369,1.4804604,1.526828763,1.269087609,1.448163232,1.280570119,0.91624165,0.24229646,0.439162984
luzonensis,1.381475697,1.034489971,0.72858828,0.84772852,0.700134053,1.267388602,1.055869824,1.46935676,1.516410184,1.255765511,1.459503434,1.258746356,0.918967926,0.30389699,0.366431076
luzonensis,1.361157854,0.998132715,0.704826328,0.88180623,0.759378406,1.259088511,1.064013458,1.488721258,1.527300041,1.284017642,1.462365511,1.273749724,0.892342045,0.311237364,0.460288597
luzonensis,1.314389287,1.000782007,0.710739235,0.806250851,0.685856314,1.224960373,1.050963635,1.449103822,1.487432423,1.24464075,1.469045983,1.244693057,0.924403927,0.326875751,0.592215608
luzonensis,1.355565224,1.003548694,0.653513575,0.850115439,0.747207579,1.227929697,0.994595739,1.436342292,1.491986913,1.236280491,1.435343511,1.267844404,0.868404906,0.253817901,0.539322609
luzonensis,1.331153377,0.997696433,0.713898096,0.831309866,0.663615094,1.258430846,1.04064109,1.470337268,1.500742871,1.259329648,1.486569987,1.270146477,0.93964063,0.335250398,0.567488044
luzonensis,1.354576092,1.027550403,0.688500189,0.817345051,0.690209368,1.261491753,1.064620423,1.474917074,1.525419973,1.288740226,1.491640807,1.275554773,0.911075967,0.246613486,0.500235902
luzonensis,1.318458359,0.971099056,0.765134545,0.809587168,0.656862792,1.240870329,1.047258275,1.475946233,1.514121283,1.285665977,1.496663272,1.292269608,0.938899048,0.296615176,0.55237137
luzonensis,1.295242915,0.985473731,0.695258844,0.817674467,0.677901675,1.239594393,1.073621149,1.446322139,1.484540663,1.241572828,1.474103277,1.249885145,0.929061846,0.34530227,0.586597722
luzonensis,1.322065029,0.98751006,0.710534578,0.793463194,0.658703151,1.235294938,1.049630175,1.467669747,1.494311251,1.251266367,1.463684918,1.253583496,0.942440356,0.325543816,0.553172111
luzonensis,1.30284218,0.994843418,0.673872792,0.847809617,0.63041506,1.245777715,1.081534879,1.45091896,1.493587659,1.251741695,1.466996831,1.265861827,0.947903819,0.291081601,0.534067459
luzonensis,1.343024591,0.998714659,0.708312884,0.816719591,0.708875557,1.250393616,1.043748095,1.47831657,1.514994362,1.297343683,1.49102022,1.230375898,0.915319791,0.356411818,0.517606462
luzonensis,1.299423109,0.994160085,0.705512691,0.732549718,0.615736733,1.247638412,1.069546087,1.467117657,1.504829116,1.263482437,1.47258795,1.259081974,0.923138208,0.301462711,0.500031452
luzonensis,1.316297708,0.983325069,0.676251333,0.796417839,0.683289239,1.242871258,1.080107867,1.467709831,1.508721272,1.265934705,1.462352634,1.246482983,0.961178561,0.384278291,0.528970402
luzonensis,1.322252453,0.990244194,0.684449199,0.849872019,0.648258788,1.247738096,1.052010669,1.460537063,1.496669427,1.272203262,1.46945185,1.242889925,0.950548126,0.260900423,0.563886418
